 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Mathematics,60,43,11,1,91.7%,4,98.3%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Modern Studies,51,36,7,5,94.1%,3,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Music,33,22,9,2,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Music Technology,10,5,5,0,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Physical Education,43,24,12,4,93.0%,3,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Physics,35,20,10,2,91.4%,3,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Practical Cookery,25,12,8,4,96.0%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Practical Woodworking,15,5,7,1,86.7%,2,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,"Religious, Moral and Philosophical Studies",22,13,2,3,81.8%,1,86.4%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,National 5,Spanish,5,2,0,1,60.0%,1,80.0%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Administration and IT,6,0,2,2,66.7%,1,83.3%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Applications of Mathematics,10,5,2,1,80.0%,1,90.0%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Art and Design,12,8,1,3,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5234034,Bucksburn Academy,Higher,Biology,44,15,12,6,75.0%,8,93.2%,3
